Christine HÃ :32:Houston, Texas:MFA Student
Joshua Marks:24:Jackson, Mississippi:Army Contract Specialist
Rebecca Reams:27:Stilwell, Kansas:Food Photographer
Franklin Mirando:28:Holbrook, New York:Stockbroker
Mairym Carlo:36:Los Angeles, California:Homemaker
David Martinez:32:Chicago, Illinois:Educational Administrator
Felix Fang:24:Hollywood, California:Food Runner
Stacey Amagrande:29:Apple Valley, California:Market Manager
Tali Clavijo:29:Chicago, Illinois:Musician
Michael Hill:40:Powder Springs, Georgia:Contractor
Tanya Noble:21:Austin, Texas:Sociology Student
Anna Rossi:28:Boston, Massachusetts:Pharmaceutical Sales Rep
Scott Little:38:Annandale, Virginia:Interactive Producer
Ryan Umane:26:New York, New York:Unemployed
Helene Leeds:35:Baldwin, Maryland:Health Coach
Michael Chen:19:Austin, Texas:Meteorology Student
David Mack:27:Davie, Florida:Caviar Sales Director
Samantha De Silva:27:Miami, Florida:Design Consultant
